Generation,AverageFitness,StdDev
0,0.24,1.34
1,0.44,1.78
2,0.77,2.30
3,1.29,2.83
4,1.82,3.21
5,2.93,3.79
6,4.46,4.13
7,6.04,4.18
8,7.37,4.42
9,8.76,4.34
10,10.10,4.28
11,11.21,4.52
12,12.53,4.48
13,13.84,4.73
14,15.29,4.67
15,16.57,4.48
16,17.71,4.55
17,18.79,4.20
18,19.71,4.30
19,20.49,4.53
20,21.68,4.49
21,22.61,4.73
22,23.80,4.48
23,24.75,4.49
24,25.64,4.48
25,26.52,4.60
26,27.49,4.49
27,28.44,4.21
28,29.04,4.23
29,29.69,4.27
30,30.33,4.23
31,30.93,4.18
32,31.40,4.22
33,31.98,4.11
34,32.24,4.23
35,32.81,4.15
36,33.29,4.26
37,33.62,4.46
38,34.29,4.18
39,34.69,4.36
40,35.25,4.35
41,35.71,4.30
42,36.23,4.06
43,36.48,4.15
44,36.64,4.17
45,36.93,4.17
46,37.31,3.87
47,37.40,3.74
48,37.19,3.98
49,37.24,3.99
50,37.46,3.90
51,37.55,4.06
52,37.59,4.20
53,38.04,4.21
54,38.21,4.10
55,38.36,4.28
56,38.67,3.89
57,38.66,4.06
58,38.72,3.98
59,38.78,4.23
60,38.96,4.10
61,39.06,4.18
62,39.12,4.11
63,39.22,4.57
64,39.51,4.66
65,39.86,4.49
66,40.38,4.27
67,40.73,4.31
68,41.01,4.13
69,41.26,4.30
70,41.35,4.24
71,41.62,4.07
72,41.66,4.25
73,41.61,4.33
74,41.84,4.21
75,41.90,4.42
76,42.13,4.26
77,42.23,4.21
78,42.12,4.23
79,42.26,4.46
80,42.39,4.48
81,42.67,4.08
82,42.65,4.35
83,42.64,4.38
84,42.86,4.28
85,42.98,4.28
86,43.09,4.37
87,43.33,4.31
88,43.33,4.38
89,43.44,4.42
90,43.61,4.33
91,43.67,4.54
92,43.76,4.61
93,43.84,4.51
94,44.01,4.58
95,44.29,4.43
96,44.61,4.23
97,44.75,4.27
98,44.66,4.47
99,44.77,4.34
100,44.65,4.27
101,44.63,4.40
102,44.83,4.34
103,44.88,4.19
104,44.51,4.44
105,44.52,4.48
106,44.46,4.60
107,44.50,4.37
108,44.91,4.23
109,44.94,4.19
110,44.91,4.13
111,44.79,4.43
112,44.71,4.65
113,44.86,4.23
114,44.66,4.64
115,44.97,4.27
116,45.04,4.51
117,45.13,4.51
118,45.25,4.47
119,45.35,4.37
120,45.54,4.33
121,45.78,4.07
122,45.48,4.42
123,45.43,4.38
124,45.33,4.61
125,45.42,4.68
126,45.59,4.67
127,45.76,4.69
128,45.94,4.24
129,45.77,4.59
130,45.91,4.59
131,46.13,4.64
132,46.24,4.61
133,46.43,4.50
134,46.42,4.54
135,46.58,4.51
136,46.56,4.28
137,46.63,4.61
138,46.73,4.35
139,46.93,4.32
140,46.98,4.49
141,47.13,4.58
142,47.16,4.56
143,47.23,4.72
144,47.26,4.71
145,47.31,4.69
146,47.41,4.64
147,47.58,4.50
148,47.65,4.49
149,47.58,4.58
150,47.77,4.51
151,47.71,4.62
152,47.93,4.40
153,47.98,4.09
154,47.90,4.42
155,47.83,4.43
156,47.73,4.57
157,47.88,4.56
158,47.98,4.43
159,48.03,4.50
160,47.86,4.58
161,48.15,4.56
162,48.33,4.60
163,48.33,4.72
164,48.66,4.39
165,48.48,4.46
166,48.50,4.57
167,48.76,4.51
168,48.82,4.49
169,48.73,4.55
170,48.79,4.50
171,48.69,4.66
172,48.73,4.93
173,48.80,4.87
174,48.93,4.75
175,49.15,4.75
176,49.31,4.62
177,49.19,4.82
178,49.38,4.91
179,49.58,4.73
180,49.78,4.73
181,49.83,4.64
182,50.09,4.42
183,49.83,4.87
184,50.00,4.46
185,50.01,4.58
186,49.96,4.61
187,49.81,4.73
188,49.79,4.55
189,49.93,4.62
190,50.01,4.68
191,49.77,4.93
192,50.16,4.61
193,50.17,4.74
194,50.23,4.77
195,50.33,4.86
196,50.43,4.77
197,50.63,4.88
198,50.45,5.05
199,50.79,5.05
